date,daily,cumulative
19/11/2020,1478203,17620
20/11/2020,1494912,16709
21/11/2020,1507155,12243
22/11/2020,1518812,11657
23/11/2020,1537438,18626
24/11/2020,1553742,16304
25/11/2020,1570210,16468
26/11/2020,1584632,14422
27/11/2020,1598838,14206
28/11/2020,1609707,10869
29/11/2020,1620306,10599
30/11/2020,1638163,17857
01/12/2020,1654447,16284
02/12/2020,1670737,16290
03/12/2020,1686224,15487
04/12/2020,1701752,15528
05/12/2020,1714427,12675
06/12/2020,1727956,13529
07/12/2020,1749084,21128
08/12/2020,1769636,20552
09/12/2020,1791059,21423
10/12/2020,1813413,22354
11/12/2020,1837275,23862
12/12/2020,1856453,19178
13/12/2020,1878273,21820
14/12/2020,1912643,34370
15/12/2020,1946186,33543
16/12/2020,1980708,34522
17/12/2020,2014251,33543
18/12/2020,2049657,35406
19/12/2020,2074449,24792
20/12/2020,2106631,32182
21/12/2020,2153460,46829
22/12/2020,2198624,45164
23/12/2020,2240375,41751
24/12/2020,2271885,31510
25/12/2020,2285964,14079
26/12/2020,2326035,40071
27/12/2020,2373369,47334
28/12/2020,2418477,45108
29/12/2020,2499311,80834
30/12/2020,2569442,70131
31/12/2020,2621766,52324
